ASKAUTOLTD,EQ,M,2025120,620.04
GLOBALVECT,EQ,M,2025120,313.19
GNFC,EQ,M,2025120,660.06
JIOFIN,EQ,M,2025120,375.00
MSPL,EQ,M,2025120,32.96
NCLIND,EQ,M,2025120,273.29
NKIND,EQ,M,2025120,85.18
PRABHA,EQ,M,2025120,357.55
SINDHUTRAD,EQ,M,2025120,30.59
TINNARUBR,EQ,M,2025120,1133.52
UTKARSHBNK,EQ,M,2025120,28.57
WEBELSOLAR,EQ,M,2025120,1621.44
20MICRONS,EQ,M,2025120,276.43
21STCENMGM,EQ,M,2025120,73.46
360ONE,EQ,M,2025120,1397.82
3MINDIA,EQ,M,2025120,34326.00
3PLAND,EQ,M,2025120,60.77
500009,EQ,M,2025120,43.43
500012,EQ,M,2025120,66.18
500014,EQ,M,2025120,5.77
500016,EQ,M,2025120,11.12
500028,EQ,M,2025120,46.12
500058,EQ,M,2025120,18.73
500068,EQ,M,2025120,16865.28
500069,EQ,M,2025120,457.20
500123,EQ,M,2025120,14752.20
500142,EQ,M,2025120,12.23
500143,EQ,M,2025120,228.72
500147,EQ,M,2025120,4166.10
500159,EQ,M,2025120,160.86
500166,EQ,M,2025120,252.42
500168,EQ,M,2025120,1131.90
500170,EQ,M,2025120,31.50
500192,EQ,M,2025120,2.66
500206,EQ,M,2025120,96.00
500213,EQ,M,2025120,611.58
500220,EQ,M,2025120,243.12
500239,EQ,M,2025120,20.72
500240,EQ,M,2025120,299.28
500245,EQ,M,2025120,700.98
500246,EQ,M,2025120,106.32
500264,EQ,M,2025120,151.56
500267,EQ,M,2025120,370.80
500270,EQ,M,2025120,193.32
500277,EQ,M,2025120,9.24
500285,EQ,M,2025120,49.38
500298,EQ,M,2025120,1201.74
500306,EQ,M,2025120,181.74
500307,EQ,M,2025120,606.72
500319,EQ,M,2025120,135.56
500360,EQ,M,2025120,90.00
500365,EQ,M,2025120,41.98
500370,EQ,M,2025120,57.74
500388,EQ,M,2025120,57.47
500414,EQ,M,2025120,286.14
500421,EQ,M,2025120,20.29
500422,EQ,M,2025120,47.38
500426,EQ,M,2025120,3.32
500450,EQ,M,2025120,600.00
500672,EQ,M,2025120,1213.02
501298,EQ,M,2025120,8148.00
501314,EQ,M,2025120,0.89
501370,EQ,M,2025120,175.20
501391,EQ,M,2025120,1160.40
501421,EQ,M,2025120,4584.60
501430,EQ,M,2025120,2392.80
501477,EQ,M,2025120,409.98
501622,EQ,M,2025120,66.46
501700,EQ,M,2025120,11.96
501833,EQ,M,2025120,29.63
501848,EQ,M,2025120,107.83
502015,EQ,M,2025120,41.44
502133,EQ,M,2025120,82.44
502281,EQ,M,2025120,16.73
502294,EQ,M,2025120,47.82
502445,EQ,M,2025120,70.14
502587,EQ,M,2025120,103.73
502589,EQ,M,2025120,170.22
502865,EQ,M,2025120,521.04
502873,EQ,M,2025120,131.82
502893,EQ,M,2025120,112.34
502933,EQ,M,2025120,187.14
502958,EQ,M,2025120,11000.10
503127,EQ,M,2025120,5976.00
503229,EQ,M,2025120,224.34
503349,EQ,M,2025120,7920.00
503624,EQ,M,2025120,10.97
503641,EQ,M,2025120,12.80
503657,EQ,M,2025120,21.41
503663,EQ,M,2025120,3.84
503675,EQ,M,2025120,1.43
503685,EQ,M,2025120,27.10
503772,EQ,M,2025120,68.04
503776,EQ,M,2025120,53.74
503804,EQ,M,2025120,389.40
503837,EQ,M,2025120,15.55
504000,EQ,M,2025120,131.95
504028,EQ,M,2025120,222.96
504080,EQ,M,2025120,1855.20
504093,EQ,M,2025120,472.02
504132,EQ,M,2025120,1127.82
504180,EQ,M,2025120,78.11
504240,EQ,M,2025120,860.70
504258,EQ,M,2025120,1229.82
504340,EQ,M,2025120,6.44
504356,EQ,M,2025120,11.23
504380,EQ,M,2025120,83.86
504646,EQ,M,2025120,410.34
504648,EQ,M,2025120,80.21
504810,EQ,M,2025120,93.64
504840,EQ,M,2025120,2151.36
504882,EQ,M,2025120,3144.48
504903,EQ,M,2025120,37.55
504908,EQ,M,2025120,490.56
504959,EQ,M,2025120,3050.64
504988,EQ,M,2025120,1437.60
505163,EQ,M,2025120,1402.02
505212,EQ,M,2025120,214.50
505232,EQ,M,2025120,1485.66
505250,EQ,M,2025120,99.64
505302,EQ,M,2025120,3250.44
505358,EQ,M,2025120,271.32
505515,EQ,M,2025120,15.41
505681,EQ,M,2025120,727.32
505693,EQ,M,2025120,10.08
505712,EQ,M,2025120,235.86
505725,EQ,M,2025120,1207.02
505729,EQ,M,2025120,88.37
505737,EQ,M,2025120,996.00
505750,EQ,M,2025120,601.92
505827,EQ,M,2025120,484.74
505840,EQ,M,2025120,41.52
505872,EQ,M,2025120,505.92
505890,EQ,M,2025120,2868.24
505978,EQ,M,2025120,3409.32
506105,EQ,M,2025120,95.08
506134,EQ,M,2025120,22.21
506520,EQ,M,2025120,9.62
506530,EQ,M,2025120,1565.16
506532,EQ,M,2025120,997.08
506543,EQ,M,2025120,14.36
506597,EQ,M,2025120,731.76
506605,EQ,M,2025120,3025.86
506685,EQ,M,2025120,613.98
506687,EQ,M,2025120,1948.68
