Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,526873,42.03,42.27,-0.0057,0.0329,0.0328,0.6266
26-JUN-2025,526877,22.07,21.09,0.0454,0.0285,0.0286,0.5464
26-JUN-2025,526883,1.98,1.98,0.0000,0.0047,0.0047,0.0898
26-JUN-2025,526891,12.77,13.44,-0.0511,0.0399,0.0400,0.7642
26-JUN-2025,526899,14.52,14.57,-0.0034,0.0310,0.0309,0.5903
26-JUN-2025,526901,55.01,55.90,-0.0160,0.0352,0.0351,0.6706
26-JUN-2025,526905,9.22,9.04,0.0197,0.0306,0.0306,0.5846
26-JUN-2025,526931,125.95,122.35,0.0290,0.0369,0.0369,0.7050
26-JUN-2025,526935,319.00,312.75,0.0198,0.0333,0.0332,0.6343
26-JUN-2025,526945,102.35,104.25,-0.0184,0.0355,0.0355,0.6782
26-JUN-2025,526959,12.50,12.50,0.0000,0.0114,0.0114,0.2178
26-JUN-2025,526961,20.49,19.84,0.0322,0.0297,0.0298,0.5693
26-JUN-2025,526965,164.70,162.85,0.0113,0.0345,0.0344,0.6572
26-JUN-2025,526967,7.93,7.58,0.0451,0.0387,0.0387,0.7394
26-JUN-2025,526971,244.35,237.60,0.0280,0.0334,0.0334,0.6381
26-JUN-2025,526977,10.33,10.33,0.0000,0.0038,0.0037,0.0707
26-JUN-2025,526981,219.75,221.90,-0.0097,0.0342,0.0341,0.6515
26-JUN-2025,527005,74.01,72.89,0.0152,0.0340,0.0339,0.6477
26-JUN-2025,530025,30.00,29.41,0.0199,0.0409,0.0408,0.7795
26-JUN-2025,530027,5.00,5.02,-0.0040,0.0455,0.0454,0.8674
26-JUN-2025,530037,103.00,102.33,0.0065,0.0221,0.0221,0.4222
26-JUN-2025,530043,271.30,277.75,-0.0235,0.0305,0.0304,0.5808
26-JUN-2025,530045,32.89,32.84,0.0015,0.0290,0.0289,0.5521
26-JUN-2025,530053,6.12,6.03,0.0148,0.0295,0.0294,0.5617
26-JUN-2025,530057,2.15,2.12,0.0141,0.0327,0.0326,0.6228
26-JUN-2025,530063,7.55,7.24,0.0419,0.0328,0.0328,0.6266
26-JUN-2025,530065,20.25,19.33,0.0465,0.0307,0.0308,0.5884
26-JUN-2025,530077,127.65,129.35,-0.0132,0.0262,0.0261,0.4986
26-JUN-2025,530095,0.31,0.32,-0.0317,0.0414,0.0413,0.7890
