SYMBOL,SYMBOL P/E,ADJUSTED P/E
SHRIRAMFIN,13.47,15.24
PUNJABCHEM,38.53,36.23
ELECTHERM,3.60,4.94
DYNAMATECH,112.81,112.81
GUJAPOLLO,291.39,291.39
GANESHHOUC,13.89,13.89
MMFL,14.86,14.86
JAGSNPHARM,26.52,36.95
ALKYLAMINE,64.20,64.20
JCHAC,81.96,81.96
MPHASIS,30.77,30.77
GUJRAFFIA,43.33,43.33
RUCHINFRA,109.05,109.05
ATLASCYCLE,8.59,8.59
RAMCOIND,24.79,24.79
KOTHARIPET,16.41,16.41
HERITGFOOD,24.09,22.86
INDRAMEDCO,23.50,23.50
BANKBARODA,6.04,6.04
MADRASFERT,23.33,23.33
GAIL,11.04,13.33
INDNIPPON,19.99,19.99
SKMEGGPROD,18.66,18.66
TCIFINANCE,5.23,5.41
BANKINDIA,5.66,5.66
CONCOR,36.57,35.83
ICICIBANK,18.70,18.70
KCPSUGIND,28.84,43.47
HUDCO,17.71,17.71
INDSWFTLAB,2.77,160.56
SAREGAMA,47.41,48.33
FDC,28.79,28.79
ENGINERSIN,28.07,28.07
ADROITINFO,111.42,
JAICORPLTD,29.67,29.67
ANTGRAPHIC,93.06,93.06
GMDCLTD,18.68,18.68
MAHAPEXLTD,13.55,33.11
INDUSINDBK,25.10,25.10
ASAHIINDIA,39.48,41.75
TRIGYN,28.50,25.96
J&KBANK,5.81,5.81
CUB,13.12,13.12
SOUTHBANK,6.14,6.14
ASTRAZEN,191.09,91.39
ITDCEM,39.79,39.79
AXISBANK,13.38,13.38
CYIENT,22.04,22.04
SONATSOFTW,27.32,27.32
KOKUYOCMLN,229.41,229.41
DHANBANK,17.66,17.66
SANGHVIMOV,15.90,15.90
STCINDIA,35.33,16.93
VIPCLOTHNG,68.20,68.20
NATIONALUM,6.48,6.48
IVC,133.35,133.35
JINDALSTEL,32.87,
ALEMBICLTD,20.45,20.45
NIPPOBATRY,2.71,2.71
ICDSLTD,54.32,54.32
BSOFT,23.86,23.86
HCLTECH,26.78,26.78
ACCELYA,21.95,22.01
STAR,22.88,20.87
ZYDUSLIFE,21.25,20.85
GLENMARK,46.28,30.60
RAJESHEXPO,94.79,94.79
SHREERAMA,11.12,11.12
NRBBEARING,34.17,219.05
IOB,21.64,21.64
BIL,61.85,61.85
KTKBANK,6.16,6.16
BLBLIMITED,20.54,20.54
AJANTPHARM,35.09,35.09
BLUESTARCO,57.09,58.03
CALSOFT,30.78,30.78
TVSMOTOR,56.72,56.72
PNBGILTS,7.80,7.89
TAJGVK,26.91,26.91
NLCINDIA,11.65,11.65
CHENNPETRO,64.08,64.08
KRBL,17.28,17.28
HAVELLS,66.95,66.95
GAEL,21.09,21.09
USHAMART,26.38,26.38
AXISCADES,74.73,71.52
UMIYA-MRO,23.29,23.29
TIPSMUSIC,51.96,51.96
HIKAL,49.76,49.76
TRIDENT,42.05,42.05
MARKSANS,37.19,37.19
ACLGATI,83.11,140.18
NEXTMEDIA,0.87,
GOLDTECH,35.63,
SMARTLINK,23.92,23.92
GODREJCP,65.47,63.61
JISLJALEQS,150.91,150.91
LUPIN,26.73,26.73
UNITDSPR,66.60,64.75
TCI,26.66,26.66
MPSLTD,32.00,33.04
BHARTIARTL,33.18,41.52
ASAL,55.36,55.36
OLECTRA,71.91,71.65
PONNIERODE,14.87,14.87
PNB,6.98,6.98
APTECHT,47.21,45.99
SURANAT&P,11.17,11.19
TIMESGTY,69.20,69.20
OFSS,33.51,33.51
UNIONBANK,6.15,6.15
NUCLEUS,19.10,19.10
CANBK,5.79,5.79
GENESYS,47.40,47.40
OMAXAUTO,8.85,54.91
GODREJIND,28.31,28.31
RADAAN,71.57,71.57
DIVISLAB,79.80,79.80
RADICO,104.31,104.31
INDORAMA,906.44,906.44
MARUTI,28.16,28.16
VARDHACRLC,31.72,31.72
UCOBANK,15.46,15.46
BAGFILMS,14.85,14.85
JSL,22.20,22.15
NSIL,78.70,78.70
WELSPUNLIV,20.84,20.84
JAIBALAJI,19.16,19.16
IGL,21.66,21.66
TVTODAY,13.91,13.91
UNIENTER,3884.08,3884.08
UPL,37.80,28.29
MUKANDLTD,27.18,27.18
PETRONET,11.45,11.45
PTC,6.13,8.51
VAIBHAVGBL,26.14,26.14
BIOCON,32.87,34.57
MAHABANK,7.56,7.56
XPROINDIA,73.21,73.21
RKFORGE,25.25,25.23
DATAMATICS,17.87,20.52
CCL,36.43,36.43
EXCELINDUS,18.24,18.24
LT,43.09,43.09
APARINDS,39.53,39.53
AMBICAAGAR,10.06,10.06
CENTEXT,16.51,16.51
NIITLTD,36.06,35.91
ULTRACEMCO,53.36,53.52
TCS,25.54,25.54
COFORGE,67.26,67.26
GULFPETRO,8.98,8.98
GUFICBIO,50.55,50.55
INDSWFTLTD,0.32,5.81
