SYMBOL,SYMBOL P/E,ADJUSTED P/E
GOPAL,238.78,78.26
DAVANGERE,29.08,29.08
MAXPOSURE,35.47,35.47
ALPEXSOLAR,30.86,30.77
KRONOX,26.27,26.27
VHLTD,13.33,13.44
SONAMAC,28.58,28.58
SIGNORIA,19.37,19.37
KROSS,70.02,70.02
FALCONTECH,13.55,13.55
TCL,18.88,18.88
ENSER,30.53,30.53
DELAPLEX,11.84,11.84
BOSS,24.33,24.33
RULKA,25.18,25.18
DENTA,58.22,58.22
SINCLAIR,32.58,32.58
SHREEKARNI,26.45,26.45
BLUEPEBBLE,16.27,16.27
AIMTRON,52.90,52.90
PSFL,27.47,27.47
DCG,36.94,36.94
AWFIS,67.91,107.73
DIFFNKG,91.82,91.82
K2INFRA,7.62,7.62
RADIOWALLA,1.23,1.10
RBS,17.17,17.17
ASPIRE,13.61,13.61
VRAJ,13.83,13.83
BALAJEE,54.78,54.78
ENFUSE,63.57,63.57
SANSTAR,37.47,37.47
FILATFASH,45.12,45.12
AVPINFRA,14.18,14.18
SATECH,9.75,9.75
AGARWALTUF,19.95,19.95
SILKFLEX,17.27,17.27
KRN,351.42,351.42
UNIECOM,73.21,73.21
GGBL,39.68,39.68
TGL,12.12,12.12
MACOBSTECH,65.23,65.25
TAC,72.06,72.06
BANSALWIRE,41.49,41.46
EMMIL,18.58,18.58
SABTNL,,9195.86
INDOUS,83.14,83.14
VILAS,42.02,42.02
GARUDA,63.61,63.61
YASHOPTICS,21.13,21.13
MIEL,13.80,13.80
ALUWIND,24.78,24.81
AMBEY,20.50,20.50
SAHAJSOLAR,20.87,20.87
REFRACTORY,20.86,20.86
PRLIND,14.70,14.66
BEACON,20.35,20.47
AKUMS,26.35,27.36
GALAPREC,112.05,111.48
ESPRIT,14.77,14.77
TOLINS,67.82,67.82
WINSOL,22.46,22.46
ORIENTTECH,104.34,104.34
HOACFOODS,53.70,53.70
QUESTLAB,10.51,10.51
GPECO,43.58,43.58
CEIGALL,15.45,15.45
MANBA,93.30,93.30
SPCL,24.34,24.34
POSITRON,19.17,19.17
KATARIA,22.60,22.60
TRANSRAILL,67.64,67.64
INTERARCH,91.27,91.27
PCCL,48.81,48.81
SPPPOLY,482.17,482.17
BULKCORP,12.80,12.80
RNFI,32.26,32.26
PNGJL,128.30,128.30
TUNWAL,15.28,15.28
RAJINDLTD,21.30,21.30
GSMFOILS,29.02,29.02
SFML,26.43,26.93
CHETANA,13.09,13.09
TECHERA,83.81,83.81
VLINFRA,9.53,9.53
SHUBHSHREE,25.05,25.05
ECOSMOBLTY,100.80,100.80
AFCONS,145.18,145.18
ETML,56.92,56.92
AVIANSH,189.36,189.36
SYLVANPLY,24.13,24.13
VISAMAN,29.72,29.72
TROM,21.93,21.93
NEPHROCARE,54.41,54.41
BIKEWO,4066.96,4066.96
FORCAS,34.85,34.85
JAYBEE,47.92,47.92
ASHALOG,7.49,7.49
JEYYAM,15.15,15.15
SRD,186.38,186.38
PARAMATRIX,32.40,32.40
DBEIL,59.23,59.23
NAMOEWASTE,106.33,106.33
DECCANTRAN,89.29,89.29
MFML,4.38,
ENVIRO,19.33,19.33
KALANA,108.83,108.83
AESTHETIK,47.16,47.16
RPEL,112.53,112.53
WOL3D,30.27,30.27
VIESL,20.96,20.96
EFFWA,59.52,59.52
AVANTEL,85.59,85.59
AGIIL,36.07,36.07
UTSSAV,22.38,22.38
VDEAL,26.05,26.05
SUNLITE,25.36,25.36
SSEGL,22.72,22.72
SAJHOTELS,122.67,122.67
PPSL,13.35,13.35
DHARIWAL,37.77,37.77
NEELAM,30.28,30.28
IDEALTECHO,38.56,38.56
PRIZOR,21.40,21.40
BOROSCI,52.99,52.99
THESL,14.14,14.14
QUADFUTURE,1242.66,1242.66
EUREKAFORB,237.11,241.46
HVAX,35.97,35.97
PRANIK,26.38,26.38
BAJAJHFL,172.89,172.89
RELTD,103.94,82.63
HYUNDAI,107.00,107.00
OSELDEVICE,36.76,36.76
LAKSHYA,18.51,18.51
SDREAMS,27.19,27.19
AERON,34.15,34.15
PELATRO,61.42,61.42
MAMATA,37.90,37.90
DIVYADHAN,621.45,621.45
ATCENERGY,28.48,28.48
FORGEAUTO,18.65,18.65
XTGLOBAL,333.51,333.51
EXCELLENT,29.94,29.94
AUSL,18.70,18.70
MYMUDRA,13.58,13.58
SAGILITY,109.03,109.03
ACMESOLAR,123.03,109.99
UNILEX,26.22,26.22
BLACKBUCK,27.37,27.30
NIKITA,18.76,18.76
USHAFIN,21.11,21.11
SATKARTAR,49.42,49.42
RAPPID,40.21,40.21
VMM,540.60,540.60
SAILIFE,179.31,179.31
UHTL,62.25,62.25
BARFLEX,19.68,19.68
DELTIC,19.45,19.45
RAJPUTANA,150.13,149.82
KMEW,175.35,175.35
SURAKSHA,254.16,254.16
OBSCP,78.71,78.71
SGLTL,210.72,210.72
FRESHARA,24.46,24.46
SENORES,146.57,146.57
OCCLLTD,70.05,70.05
APRAMEYA,19.06,19.06
APEXECO,23.32,23.32
ROYALARC,28.57,26.33
ONYX,48.78,48.78
DANISH,58.77,58.77
IKS,185.38,185.38
RAPIDFLEET,44.41,44.41
DHANLAXMI,169.66,169.66
UNIMECH,221.38,221.38
AVL,315.06,315.06
CARRARO,105.56,105.56
ARUNAYA,27.88,27.88
VINCOFE,100.30,100.30
IDENTICAL,37.67,37.67
REXPRO,24.15,24.15
DAMCAPITAL,207.86,207.86
GUJTHEM,312.37,312.37
SHRIAHIMSA,29.42,29.42
VENTIVE,107.71,107.71
KPEL,76.06,76.06
PSRAJ,32.97,32.97
KKJEWELS,15.11,15.11
LAXMIDENTL,666.95,739.78
EMAPARTNER,40.21,40.21
ACTIVEINFR,33.85,33.85
QPOWER,170.89,168.97
VOLERCAR,56.69,56.69
NTPCGREEN,387.73,387.73
NORTHARC,100.94,100.94
AGARWALEYE,298.59,284.93
PROSTARM,115.75,115.75
CHANDAN,39.53,39.53
SCODATUBES,176.33,176.33
AJAXENGG,80.06,80.06
INTEGRITY,32.82,32.82
BAJAJINDEF,128.91,128.91
NATCAPSUQ,437.04,437.04
DDEVPLSTIK,54.82,54.82
ELGNZ,25.89,25.89
NIBE,276.40,276.40
VGINFOTECH,32.81,32.81
TEJASCARGO,40.11,40.11
JUBLCPL,158.84,158.84
MAXVOLT,43.13,43.13
ITCHOTELS,180.91,180.91
BORANA,53.78,53.77
AEGISVOPAK,670.23,670.23
BELRISE,84.20,84.20
GCHOTELS,83.26,83.26
DCCL,21.35,21.35
PROTEAN,171.02,171.02
MOSCHIP,395.89,395.89
ONESOURCE,231.38,231.38
WAAREERTL,111.28,107.60
BHARATSE,56.09,56.09
ACCPL,18.21,18.21
