MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,JEYYAM,JEYYAM GLOBAL FOODS LTD,        40.00,        39.75,        40.65,        39.65,        40.40,                   964200.00,24000, ,        69.90,        31.00
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        15.15,        15.05,        15.10,        15.05,        15.05,                   542400.00,36000, ,        75.10,        14.45
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       425.55,       425.80,       432.70,       417.00,       422.80,                 27023962.50,63450, ,      2498.60,       400.25
N,SM,KALANA,KALANA ISPAT LIMITED,        42.10,        43.20,        43.20,        41.25,        41.25,                   168900.00,4000, ,        55.00,        32.60
N,SM,KATARIA,KATARIA INDUSTRIES LTD,       115.00,       115.00,       115.00,       114.00,       115.00,                   275400.00,2400, ,       247.00,        90.50
N,SM,KCK,KCK INDUSTRIES LTD,        43.85,        43.85,        45.00,        42.65,        44.35,                 43818750.00,1007500, ,       324.50,        32.90
N,SM,KDL,KORE DIGITAL LIMITED,       323.30,       322.00,       336.45,       317.00,       318.20,                  8157832.50,25200, ,      2856.15,       262.10
N,SM,KEL,KUNDAN EDIFICE LIMITED,       118.00,       121.00,       123.80,       120.30,       123.80,                   727800.00,6000, ,       186.95,        91.00
N,SM,KKJEWELS,KABRA JEWELS LIMITED,       122.85,       125.00,       125.00,       117.00,       120.50,                  3976750.00,33000, ,       265.00,       108.05
N,SM,KKVAPOW,KKV AGRO POWERS LTD.,       605.00,       635.00,       635.00,       635.00,       635.00,                    99060.00,156, ,      1178.00,       484.50
N,SM,KLL,KAUSHALYA LOGISTICS LTD,        77.60,        75.70,        85.50,        75.70,        85.00,                  9665160.00,116800, ,       162.80,        70.00
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       218.85,       219.25,       220.95,       216.75,       219.15,                  6681780.00,30400, ,       310.00,       161.00
N,SM,KODYTECH,KODY TECHNOLAB LIMITED,       799.50,       800.00,       839.00,       795.15,       832.70,                 12593125.00,15500, ,      4175.00,       670.00
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       275.35,       278.00,       288.00,       276.10,       281.70,                  8450675.00,30000, ,       430.00,       196.05
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       894.70,       891.05,       902.80,       865.35,       896.35,                 55284700.00,62500, ,      1130.00,       503.00
N,SM,LAKSHYA,LAKSHYA POWERTECH LIMITED,       154.00,       160.00,       161.90,       153.10,       156.55,                  2407720.00,15200, ,       376.95,       146.00
N,SM,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,       148.15,       149.00,       149.05,       148.50,       148.50,                  1936500.00,13000, ,       229.00,       130.00
N,SM,MAITREYA,MAITREYA MEDICARE LIMITED,       280.00,       270.10,       278.00,       270.10,       277.65,                  1751620.00,6400, ,       400.00,       111.00
N,SM,MARCO,MARCO CABLE & CONDUCTOR L,        45.55,        45.00,        45.95,        45.00,        45.80,                   479700.00,10500, ,        83.95,        33.10
N,SM,MARINETRAN,MARINETRANS INDIA LIMITED,        16.55,        16.90,        16.90,        16.50,        16.50,                   133600.00,8000, ,        34.00,        13.80
N,SM,MAXPOSURE,MAXPOSURE LIMITED,        54.20,        53.20,        53.95,        53.10,        53.15,                   266550.00,5000, ,       139.00,        49.60
N,SM,MCON,MCON RASAYAN INDIA LTD,       108.00,       106.05,       106.05,       102.60,       102.60,                  2890050.00,28000, ,       244.35,       101.45
N,SM,MEGAFLEX,MEGA FLEX PLASTICS LTD,        52.50,        52.55,        54.85,        52.55,        53.05,                  1129350.00,21000, ,        75.00,        34.05
N,SM,MEGATHERM,MEGATHERM INDUCTION LTD,       357.45,       364.30,       364.30,       352.20,       361.50,                  6482660.00,18000, ,       490.00,       255.00
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        58.05,        58.00,        58.90,        57.20,        57.55,                  1393050.00,24000, ,        86.90,        46.00
N,SM,MICROPRO,MICROPRO SOFTWARE SOL L,        23.45,        22.00,        23.95,        22.00,        23.95,                   147440.00,6400, ,        49.40,        18.05
N,SM,MILTON,MILTON INDUSTRIES LIMITED,        30.00,        29.00,        29.00,        29.00,        29.00,                   127600.00,4400, ,        46.80,        26.50
N,SM,MINDPOOL,MINDPOOL TECHNOLOGIES LTD,        56.00,        58.80,        58.80,        58.80,        58.80,                   235200.00,4000, ,        85.00,        49.00
N,SM,MONOPHARMA,MONO PHARMACARE LIMITED,        25.10,        24.50,        24.50,        24.50,        24.50,                    49000.00,2000, ,        41.95,        22.10
N,SM,MOS,MOS UTILITY LIMITED,       252.90,       251.50,       255.80,       250.20,       251.55,                 11690960.00,46400, ,       374.95,       150.00
N,SM,MOXSH,MOXSH OVERSEAS EDUCON LTD,        27.00,        27.05,        28.35,        27.00,        28.35,                   263680.00,9600, ,       210.50,        25.50
N,SM,MPTODAY,M P TODAY MEDIA LIMITED,        38.95,        40.85,        40.85,        40.85,        40.85,                    81700.00,2000, ,        47.50,        25.20
N,SM,MWL,MANGALAM WORLDWIDE LTD,       162.85,       162.85,       165.90,       162.00,       163.95,                  2949960.00,18000, ,       184.00,       126.15
N,SM,MYMUDRA,MY MUDRA FINCORP LIMITED,        73.20,        74.95,        76.95,        74.95,        76.95,                   733860.00,9600, ,       130.05,        51.60
N,SM,NAMOEWASTE,NAMO EWASTE MANAGEMENT L,       145.00,       144.95,       145.00,       137.00,       140.30,                 11113760.00,78400, ,       284.00,       135.20
N,SM,NEPHROCARE,NEPHRO CARE INDIA LIMITED,       120.10,       120.10,       123.00,       116.70,       121.75,                  2399580.00,20000, ,       378.80,       116.70
N,SM,NEPTUNE,NEPTUNE PETROCHEMICALS L,       143.20,       143.25,       143.25,       142.10,       142.35,                  3139600.00,22000, ,       152.75,       126.30
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        20.50,        20.15,        20.85,        20.15,        20.80,                    82600.00,4000, ,        39.20,        16.05
N,SM,NIKITA,NIKITA PAPERS LIMITED,        98.10,        96.15,        98.00,        95.50,        95.65,                  1740600.00,18000, ,       106.90,        84.60
N,SM,NRVANDANA,N R VANDANA TEX IND LTD,        41.30,        41.00,        43.00,        40.85,        42.70,                  5817150.00,138000, ,        46.00,        37.55
N,SM,OMFURN,OMFURN INDIA LIMITED,       105.45,       105.00,       106.00,       104.35,       105.85,                  2402760.00,22800, ,       120.60,        54.25
N,SM,ONYX,ONYX BIOTEC LIMITED,        52.95,        52.90,        52.90,        50.35,        52.40,                  1222900.00,24000, ,        97.45,        45.00
N,SM,OSELDEVICE,OSEL DEVICES LIMITED,       274.40,       275.00,       278.00,       273.10,       276.75,                  5395520.00,19600, ,       344.00,       169.60
N,SM,PARAGON,PARAGON FINE S.C. LTD.,        64.75,        64.75,        67.85,        64.75,        67.85,                   159120.00,2400, ,       179.00,        61.20
N,SM,PARIN,PARIN ENTERPRISES LIMITED,       344.00,       341.00,       347.00,       341.00,       344.00,                  1030000.00,3000, ,       410.95,       198.55
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,        80.00,        80.55,        80.55,        80.45,        80.45,                   402500.00,5000, ,       140.00,        77.00
N,SM,PASHUPATI,PASHUPATI COTSPIN LIMITED,       660.65,       662.00,       664.00,       662.00,       664.00,                   265200.00,400, ,       675.00,       404.35
N,SM,PATTECH,PATTECH FITWELL TUB COM L,        76.75,        80.55,        80.55,        79.00,        80.55,                  3618675.00,45000, ,       166.50,        60.10
N,SM,PCCL,PETRO CARBON AND CHEMI L,       187.00,       187.00,       187.00,       181.00,       182.85,                 19989540.00,109200, ,       382.80,       150.00
N,SM,PELATRO,PELATRO LIMITED,       405.00,       409.80,       410.00,       401.05,       403.70,                  1955190.00,4800, ,       559.90,       263.00
N,SM,PENTAGON,PENTAGON RUBBER LIMITED,        62.00,        61.50,        64.60,        61.50,        63.50,                   567850.00,9000, ,       140.00,        52.00
N,SM,PHANTOMFX,PHANTOM DIGITAL EFF LTD,       255.05,       257.60,       257.60,       255.00,       255.00,                  1075755.00,4200, ,       489.90,       165.00
N,SM,PPSL,PICTUREPOST STUDIOS LTD,        22.95,        22.95,        23.10,        22.30,        22.55,                   544950.00,24000, ,        45.60,        22.00
N,SM,PRANIK,PRANIK LOGISTICS LIMITED,        86.50,        86.75,        86.75,        85.20,        85.20,                   412720.00,4800, ,       112.95,        55.25
N,SM,PRATHAM,PRATHAM EPC PROJECTS LTD,       151.45,       151.10,       152.50,       150.00,       152.50,                  1148200.00,7600, ,       442.80,       145.10
N,SM,PREMIUM,PREMIUM PLAST LIMITED,        39.00,        38.80,        38.80,        38.80,        38.80,                   116400.00,3000, ,        51.75,        26.05
N,SM,PRESSTONIC,PRESSTONIC ENGINEERING L,       101.10,       100.05,       103.70,       100.00,       100.95,                   975760.00,9600, ,       151.00,        80.35
N,SM,PRLIND,PREMIER ROADLINES LIMITED,        98.05,        98.50,        99.00,        97.00,        97.00,                  1577600.00,16000, ,       174.90,        78.20
N,SM,PROPEQUITY,P. E. ANALYTICS LIMITED,       210.00,       210.00,       210.00,       210.00,       210.00,                   126000.00,600, ,       332.00,       188.80
